"","TRIPID","CUMUSIGHTID","SPECIES","COMNAME","TEAM","DETECTED","PERPDIST","SIZEBEST","SIGHTTIME","GLAREMAG_WAVG","SEASTATE_WAVG","SWELLHEIGHT"
"1","HB1103",10794,"UNK","Unknown","upper",0,1465.778,1,11.1,0,4.43338331716744,1
"2","HB1103",10794,"UNK","Unknown","lower",1,1465.778,1,11.1,0,4.43338331716744,1
"3","HB1103",10795,"UNDO","Dolphin, unid","lower",0,184.9115,1,11.461,0,4.43338331716744,1
"4","HB1103",10795,"UNDO","Dolphin, unid","upper",1,184.9115,1,11.461,0,4.43338331716744,1
"5","HB1103",10796,"SPWH","Whale, Sperm","upper",0,2095.891,1,12.912,0,4.1562554250552,0.6
"6","HB1103",10796,"SPWH","Whale, Sperm","lower",1,2095.891,1,12.912,0,4.1562554250552,0.6
"7","HB1103",10797,"GRAM","Dolphin, Risso's","upper",0,993.3288,5,13.258,0,4.14083500888911,0.6
"8","HB1103",10797,"GRAM","Dolphin, Risso's","lower",1,993.3288,5,13.258,0,4.14083500888911,0.6
"9","HB1103",10799,"UNDO","Dolphin, unid","lower",0,2735.126,2,13.766,0,3.8,0.6
"10","HB1103",10799,"UNDO","Dolphin, unid","upper",1,2735.126,2,13.766,0,3.8,0.6
"11","HB1103",10800,"ASDO","Dolphin, Atlantic Spotted","lower",0,2728.878,35,14.247,0,3.8,0.6
"12","HB1103",10800,"ASDO","Dolphin, Atlantic Spotted","upper",1,2728.878,35,14.247,0,3.8,0.6
"13","HB1103",10801,"ASDO","Dolphin, Striped","lower",0,1958.143,31,14.513,0,3.8,0.6
"14","HB1103",10801,"ASDO","Dolphin, Striped","upper",1,1958.143,31,14.513,0,3.8,0.6
"15","HB1103",10803,"PIWH","Whale, Pilot (unid.)","upper",1,109.9981,22,14.999,0,3.80086621634497,0.6
"16","HB1103",10803,"PIWH","Whale, Pilot (unid.)","lower",1,109.9981,22,14.999,0,3.80086621634497,0.6
"17","HB1103",10804,"PIWH","Whale, Pilot (unid.)","lower",0,3078.716,6,15.124,0,3.80086621634497,0.6
"18","HB1103",10804,"PIWH","Whale, Pilot (unid.)","upper",1,3078.716,6,15.124,0,3.80086621634497,0.6
"19","HB1103",10805,"STDO","Dolphin, Striped","lower",0,2911.789,34,17.358,0,3.9,0.6
"20","HB1103",10805,"STDO","Dolphin, Striped","upper",1,2911.789,34,17.358,0,3.9,0.6
"21","HB1103",10806,"STDO","Dolphin, Striped","upper",1,2110.842,20,17.453,0,3.86495185692713,0.6
"22","HB1103",10806,"STDO","Dolphin, Striped","lower",1,2110.842,20,17.453,0,3.86495185692713,0.6
"23","HB1103",10807,"PIWH","Whale, Pilot (unid.)","lower",1,0,27,17.855,0,3.32416780359438,0.6
"24","HB1103",10807,"PIWH","Whale, Pilot (unid.)","upper",1,0,27,17.855,0,3.32416780359438,0.6
"25","HB1103",10808,"SADO","Dolphin, Common","lower",0,124.747,9,17.948,0,3.32416780359438,0.6
"26","HB1103",10808,"SADO","Dolphin, Common","upper",1,124.747,9,17.948,0,3.32416780359438,0.6
"27","HB1103",10809,"SADO","Dolphin, Common","upper",0,0,13,17.979,0,3.32416780359438,0.6
"28","HB1103",10809,"SADO","Dolphin, Common","lower",1,0,13,17.979,0,3.32416780359438,0.6
"29","HB1103",10838,"PIWH","Whale, Pilot (unid.)","lower",0,124.747,12,17.948,0,3.32416780359438,0.6
"30","HB1103",10838,"PIWH","Whale, Pilot (unid.)","upper",1,124.747,12,17.948,0,3.32416780359438,0.6
"31","HB1103",10810,"GOBW","Whale, Cuvier's Beaked","lower",0,0,2,17.991,0,3.32416780359438,0.6
"32","HB1103",10810,"GOBW","Whale, Cuvier's Beaked","upper",1,0,2,17.991,0,3.32416780359438,0.6
"33","HB1103",10811,"PIWH","Whale, Pilot (unid.)","upper",0,5326.423,5,18.318,0,3.2,0.6
"34","HB1103",10811,"PIWH","Whale, Pilot (unid.)","lower",1,5326.423,5,18.318,0,3.2,0.6
"35","HB1103",10812,"GRAM","Dolphin, Risso's","lower",0,186.762,3,18.517,0,3.2,0.6
"36","HB1103",10812,"GRAM","Dolphin, Risso's","upper",1,186.762,3,18.517,0,3.2,0.6
